course_name,institution,institution_type,level,skills,description,url,duration,fees,prerequisites,entry_requirements,url_raw,url_invalid,url_duplicate
Diploma in Information Technology,Ngee Ann Polytechnic,Poly,Diploma,"programming, software development, databases, web development, cybersecurity","Provides students with strong foundations in software development, database systems, web technologies, and IT problem-solving.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/diploma-in-information-technology,3 years (full-time),"AY2026 annual fees (NP): SC <40: S$3,167.50; SC ≥40: S$2,167.50; PR: S$6,497.50; ASEAN intl: S$12,558.00; Other intl: S$13,758.00 (indicative; check official page for latest).",Nil,Aggregate type: ELR2B2-C. English Language (O-Level): grade 1–7; Mathematics/Additional Mathematics: grade 1–6; Any ONE 2nd-group Relevant Subject: grade 1–6. Aggregate computed using EL + 2 relevant subjects + 2 best other subjects.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/diploma-in-information-technology,False,False
Diploma in Cybersecurity & Digital Forensics,Ngee Ann Polytechnic,Poly,Diploma,"cybersecurity, networking, digital forensics, incident response","Focuses on protecting digital systems through cybersecurity principles, network defence, and forensic investigation.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/diploma-in-cybersecurity-digital-forensic,3 years (full-time),"AY2026 annual fees (NP): SC <40: S$3,167.50; SC ≥40: S$2,167.50; PR: S$6,497.50; ASEAN intl: S$12,558.00; Other intl: S$13,758.00 (indicative; check official page for latest).",Nil,Aggregate type: ELR2B2-C. English Language (O-Level): grade 1–7; Mathematics/Additional Mathematics: grade 1–6; Any ONE 2nd-group Relevant Subject: grade 1–6. Aggregate computed using EL + 2 relevant subjects + 2 best other subjects.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/diploma-in-cybersecurity-digital-forensic,False,False
Diploma in Business Studies,Ngee Ann Polytechnic,Poly,Diploma,"business management, marketing, finance, entrepreneurship","Equips students with business fundamentals including marketing, finance, operations, and entrepreneurial skills.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-business-accountancy/diploma-in-business-studies,3 years (full-time),"AY2026 annual fees (NP): SC <40: S$3,167.50; SC ≥40: S$2,167.50; PR: S$6,497.50; ASEAN intl: S$12,558.00; Other intl: S$13,758.00 (indicative; check official page for latest).",Nil,Aggregate type: ELR2B2-B. English Language (O-Level): grade 1–6; Mathematics/Additional Mathematics: grade 1–6; Any ONE 2nd-group Relevant Subject: grade 1–6. Aggregate computed using EL + 2 relevant subjects + 2 best other subjects.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-business-accountancy/diploma-in-business-studies,False,False
Diploma in Design,Ngee Ann Polytechnic,Poly,Diploma,"visual design, UX, branding, creative thinking","Develops creative problem-solving skills through visual communication, design thinking, and digital media.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-design-environment/diploma-in-design,3 years (full-time),"AY2026 annual fees (NP): SC <40: S$3,167.50; SC ≥40: S$2,167.50; PR: S$6,497.50; ASEAN intl: S$12,558.00; Other intl: S$13,758.00 (indicative; check official page for latest).",Nil,Aggregate type: ELR2B2-D. English Language (O-Level): grade 1–7; Mathematics/Additional Mathematics: grade 1–7; Any ONE 2nd-group Relevant Subject: grade 1–6. Aggregate computed using EL + 2 relevant subjects + 2 best other subjects.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-design-environment/diploma-in-design,False,False
Diploma in Computer Engineering,Temasek Polytechnic,Poly,Diploma,"hardware, software, networking, embedded systems","Combines software and hardware knowledge, preparing students for careers in computing systems and networked devices.",https://www.tp.edu.sg/schools-and-courses/students/schools/eng/computer-engineering.html,3 years (full-time),"TP total subsidised fees (inclusive of GST) payable per academic year (Admitted in 2025; billed over 2 semesters): SG citizen (<40): S$3,179.65; SPR: S$6,509.65; International: S$12,570.15. Estimated 3-year total: SG citizen S$9,538.95; SPR S$19,528.95; International S$37,710.45.",Nil,"To be eligible for consideration for admission, applicants must obtain 26 points or better for the net ELR2B2 aggregate score (English Language, 2 relevant subjects and best 2 other subjects, including CCA Bonus Points) and meet the minimum entry requirements; CCA cannot be used to meet the minimum entry requirements. Minimum entry requirements: English Language (EL1) grade 1–7; Mathematics (E or A) grade 1–6; plus any ONE subject grade 1–6 (e.g., Biology, Chemistry, Computing/Computer Studies, Design & Technology, Electronics/Fundamentals of Electronics, Physics, Science).",https://www.tp.edu.sg/schools-and-courses/students/schools/eng/computer-engineering.html,False,False
Diploma in Information Technology,Temasek Polytechnic,Poly,Diploma,"programming, databases, cloud computing, web development","Covers application development, database design, cloud technologies, and IT systems management.",https://www.tp.edu.sg/schools-and-courses/students/schools/iit/information-technology.html,3 years (full-time),"TP total subsidised fees (inclusive of GST) payable per academic year (Admitted in 2025; billed over 2 semesters): SG citizen (<40): S$3,179.65; SPR: S$6,509.65; International: S$12,570.15. Estimated 3-year total: SG citizen S$9,538.95; SPR S$19,528.95; International S$37,710.45.",Nil,"To be eligible for consideration for admission, applicants must obtain 26 points or better for the net ELR2B2 aggregate score (English Language, 2 relevant subjects and best 2 other subjects, including CCA Bonus Points) and meet the minimum entry requirements; CCA cannot be used to meet the minimum entry requirements. Minimum entry requirements (ELR2B2-C): English Language (EL1) grade 1–7; Mathematics (E or A) grade 1–6; and any ONE subject in the 2nd group of relevant subjects grade 1–6 (e.g., Biology, Chemistry, Computing/Computer Studies, Design & Technology, Electronics/Fundamentals of Electronics, Physics, Science).",https://www.tp.edu.sg/schools-and-courses/students/schools/iit/information-technology.html,False,False
Diploma in Digital Film & Television,Temasek Polytechnic,Poly,Diploma,"media production, video editing, storytelling","Trains students in film production, broadcasting, and digital storytelling using industry-standard tools.",https://www.tp.edu.sg/schools-and-courses/students/schools/des/digital-film-television.html,3 years (full-time),"TP total subsidised fees (inclusive of GST) payable per academic year (Admitted in 2025; billed over 2 semesters): SG citizen (<40): S$3,179.65; SPR: S$6,509.65; International: S$12,570.15. Estimated 3-year total: SG citizen S$9,538.95; SPR S$19,528.95; International S$37,710.45.",Nil,"To be eligible for consideration for admission, applicants must obtain 26 points or better for the net ELR2B2 aggregate score (English Language, 2 relevant subjects and best 2 other subjects, including CCA Bonus Points) and meet the minimum entry requirements; CCA cannot be used to meet the minimum entry requirements. Minimum entry requirements (ELR2B2-D): English Language grade 1–7; Mathematics (E or A) grade 1–7; and any ONE subject in the 2nd group of relevant subjects grade 1–6 (e.g., Art, Higher Art, Media Studies, Design & Technology, Computing/Computer Studies, Chemistry, Physics, Science).",https://www.tp.edu.sg/schools-and-courses/students/schools/des/digital-film-television.html,False,False
Diploma in Accountancy & Finance,Temasek Polytechnic,Poly,Diploma,"accounting, finance, auditing, taxation","Provides a strong foundation in accounting principles, financial analysis, and business law.",https://www.tp.edu.sg/schools-and-courses/students/schools/bus/accountancy-finance.html,3 years (full-time),"TP total subsidised fees (inclusive of GST) payable per academic year (Admitted in 2025; billed over 2 semesters): SG citizen (<40): S$3,179.65; SPR: S$6,509.65; International: S$12,570.15. Estimated 3-year total: SG citizen S$9,538.95; SPR S$19,528.95; International S$37,710.45.",Nil,"To be eligible for consideration for admission, applicants must obtain 26 points or better for the net ELR2B2 aggregate score (English Language, 2 relevant subjects and best 2 other subjects, including CCA Bonus Points) and meet the minimum entry requirements; CCA cannot be used to meet the minimum entry requirements. Minimum entry requirements (ELR2B2-B): English Language (EL1) grade 1–6; Mathematics (E or A) grade 1–6; and any ONE subject in the 2nd group of relevant subjects grade 1–6 (e.g., Business Studies, Economics, Principles of Accounts, Combined Humanities, Geography, History, Literature, Media Studies, Art).",https://www.tp.edu.sg/schools-and-courses/students/schools/bus/accountancy-finance.html,False,False
Diploma in Computer Science,Singapore Polytechnic,Poly,Diploma,"algorithms, programming, software engineering, data structures","Focuses on core computing concepts including programming, algorithms, and software system development.",https://www.sp.edu.sg/courses/schools/soc/computer-science,Nil,Nil,Nil,Nil,https://www.sp.edu.sg/courses/schools/soc/computer-science,False,False
Common ICT Programme,Singapore Polytechnic,Poly,Diploma,"application development, cloud, cybersecurity",Prepares students for IT careers with hands-on training in application development and digital infrastructure.,https://www.sp.edu.sg/courses/schools/soc/common-ict-programme,Nil,Nil,Nil,Nil,https://www.sp.edu.sg/courses/schools/soc/common-ict-programme,False,False
